DATETIME,RECIPE,ANGLE,ITEM,RESULT,HEAD1_FOUND,HEAD1_STANDARD_AXIS,HEAD1_RESULT_AXIS,HEAD1_RESULT,HEAD1_LENGTH,HEAD1_FILE,HEAD2_FOUND,HEAD2_STANDARD_AXIS,HEAD2_RESULT_AXIS,HEAD2_RESULT,HEAD2_LENGTH,HEAD2_FILE,HEAD3_FOUND,HEAD3_STANDARD_AXIS,HEAD3_RESULT_AXIS,HEAD3_RESULT,HEAD3_LENGTH,HEAD3_FILE,HEAD4_FOUND,HEAD4_STANDARD_AXIS,HEAD4_RESULT_AXIS,HEAD4_RESULT,HEAD4_LENGTH,HEAD4_FILE
STRING,STRING,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING
2017.04.08 18:23:18 711,I5057,0,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\04\08\18.23.18 711\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\04\08\18.23.18 711\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\04\08\18.23.18 711\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\04\08\18.23.18 711\Head4.jpg
2017.04.08 18:23:46 114,I5057,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\04\08\18.23.46 114\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\04\08\18.23.46 114\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\04\08\18.23.46 114\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\04\08\18.23.46 114\Head4.jpg
2017.04.08 19:15:07 609,I5057,0,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\04\08\19.15.07 609\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\04\08\19.15.07 609\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\04\08\19.15.07 609\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\04\08\19.15.07 609\Head4.jpg
2017.04.08 19:15:38 942,I5057,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\04\08\19.15.38 942\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\04\08\19.15.38 942\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\04\08\19.15.38 942\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\04\08\19.15.38 942\Head4.jpg
