DATETIME,RECIPE,ANGLE,RESULT,MOVEMENT_HEAD1_X,MOVEMENT_HEAD2_X,MOVEMENT_HEAD3_X,MOVEMENT_HEAD4_X,MOVEMENT_Y,MOVEMENT_T,HEAD1_RESULT,HEAD1_PIXEL_X,HEAD1_PIXEL_Y,HEAD1_FILE,HEAD2_RESULT,HEAD2_PIXEL_X,HEAD2_PIXEL_Y,HEAD2_FILE,HEAD3_RESULT,HEAD3_PIXEL_X,HEAD3_PIXEL_Y,HEAD3_FILE,HEAD4_RESULT,HEAD4_PIXEL_X,HEAD4_PIXEL_Y,HEAD4_FILE
STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING
2017.01.20 00:30:03 951,TFT_SIDE5.46,0,RETRY,0.0004,0.003,0.0019,0.0015,0.0569,-0.00022,True,639.526343608274,494.869619790373,.\Image\Alignment\2017\01\20\00.30.03 951\Head1.jpg,True,639.027642744649,495.908391654558,.\Image\Alignment\2017\01\20\00.30.03 951\Head2.jpg,True,639.275189739087,495.994614039777,.\Image\Alignment\2017\01\20\00.30.03 951\Head3.jpg,True,639.141605199673,495.446945437695,.\Image\Alignment\2017\01\20\00.30.03 951\Head4.jpg
2017.01.20 00:30:05 847,TFT_SIDE5.46,0,RETRY,-0.0025,0.0006,0.0009,-0.0027,0.0016,-0.0002,True,640.322120659411,480.14105332592,.\Image\Alignment\2017\01\20\00.30.05 847\Head1.jpg,True,640.216257263787,481.6104618415,.\Image\Alignment\2017\01\20\00.30.05 847\Head2.jpg,True,640.134130715644,481.399263053681,.\Image\Alignment\2017\01\20\00.30.05 847\Head3.jpg,True,640.384503342655,480.70848311436,.\Image\Alignment\2017\01\20\00.30.05 847\Head4.jpg
2017.01.20 00:30:07 579,TFT_SIDE5.46,0,RETRY,0.001,-0.0032,-0.0028,0.0013,-0.0009,0.00014,True,639.971130564918,479.950366535058,.\Image\Alignment\2017\01\20\00.30.07 579\Head1.jpg,True,640.77378603496,480.724199470004,.\Image\Alignment\2017\01\20\00.30.07 579\Head2.jpg,True,640.668930709467,480.772187246278,.\Image\Alignment\2017\01\20\00.30.07 579\Head3.jpg,True,639.909790897405,479.552276263133,.\Image\Alignment\2017\01\20\00.30.07 579\Head4.jpg
2017.01.20 00:30:09 243,TFT_SIDE5.46,0,OK,-0.0001,0.0005,0.0003,-0.0002,0,0,True,640.039462281807,480.053321924973,.\Image\Alignment\2017\01\20\00.30.09 243\Head1.jpg,True,639.875829265002,481.062277628189,.\Image\Alignment\2017\01\20\00.30.09 243\Head2.jpg,True,639.918735248602,480.952485504619,.\Image\Alignment\2017\01\20\00.30.09 243\Head3.jpg,True,640.065297373584,480.143390672838,.\Image\Alignment\2017\01\20\00.30.09 243\Head4.jpg
2017.01.20 00:30:29 145,TFT_SIDE5.46,90,RETRY,0.0066,0.0523,-0.074,-0.0726,0.1279,-0.01786,True,612.325004052943,484.271047276878,.\Image\Alignment\2017\01\20\00.30.29 145\Head1.jpg,True,615.107432664638,504.480673597503,.\Image\Alignment\2017\01\20\00.30.29 145\Head2.jpg,True,648.529099099009,514.591604769838,.\Image\Alignment\2017\01\20\00.30.29 145\Head3.jpg,True,633.261542798295,534.374386647586,.\Image\Alignment\2017\01\20\00.30.29 145\Head4.jpg
2017.01.20 00:30:30 945,TFT_SIDE5.46,90,RETRY,0.003,-0.0499,-0.0526,0.0062,-0.0307,0.00092,True,640.529904083382,473.354377402001,.\Image\Alignment\2017\01\20\00.30.30 945\Head1.jpg,True,654.534445126711,473.143378074243,.\Image\Alignment\2017\01\20\00.30.30 945\Head2.jpg,True,655.268994423529,472.014932796621,.\Image\Alignment\2017\01\20\00.30.30 945\Head3.jpg,True,639.730335375525,470.781681022969,.\Image\Alignment\2017\01\20\00.30.30 945\Head4.jpg
2017.01.20 00:30:32 745,TFT_SIDE5.46,90,OK,-0.0001,0.0004,0.001,-0.001,0,0,True,640.028313586704,480.398157902292,.\Image\Alignment\2017\01\20\00.30.32 745\Head1.jpg,True,639.890988145161,481.321143864368,.\Image\Alignment\2017\01\20\00.30.32 745\Head2.jpg,True,639.74001040494,480.605401239485,.\Image\Alignment\2017\01\20\00.30.32 745\Head3.jpg,True,640.269997702975,480.652856454003,.\Image\Alignment\2017\01\20\00.30.32 745\Head4.jpg
2017.01.20 00:34:29 087,TFT_SIDE5.46,0,RETRY,-0.4512,-0.462,-0.5935,-0.5335,0.1476,0.0084,True,775.360303521078,531.494262332447,.\Image\Alignment\2017\01\20\00.34.29 087\Head1.jpg,True,776.977185006517,524.735203426612,.\Image\Alignment\2017\01\20\00.34.29 087\Head2.jpg,True,811.650456661005,517.559584944092,.\Image\Alignment\2017\01\20\00.34.29 087\Head3.jpg,True,796.658129015681,507.74724783875,.\Image\Alignment\2017\01\20\00.34.29 087\Head4.jpg
2017.01.20 00:34:30 913,TFT_SIDE5.46,0,RETRY,-0.0039,0.0002,-0.0023,-0.0023,0.0092,-0.00018,True,640.739084535154,482.205091927042,.\Image\Alignment\2017\01\20\00.34.30 913\Head1.jpg,True,639.864537030034,482.948739293714,.\Image\Alignment\2017\01\20\00.34.30 913\Head2.jpg,True,640.505989341204,483.002091458828,.\Image\Alignment\2017\01\20\00.34.30 913\Head3.jpg,True,640.287838509215,482.714058192069,.\Image\Alignment\2017\01\20\00.34.30 913\Head4.jpg
2017.01.20 00:34:32 659,TFT_SIDE5.46,0,OK,-0.0002,-0.0021,-0.0009,-0.0003,0,0,True,640.045443858956,479.754472391938,.\Image\Alignment\2017\01\20\00.34.32 659\Head1.jpg,True,640.553885462588,480.567009982343,.\Image\Alignment\2017\01\20\00.34.32 659\Head2.jpg,True,640.237372541202,480.973433455272,.\Image\Alignment\2017\01\20\00.34.32 659\Head3.jpg,True,640.088165448669,479.735724207605,.\Image\Alignment\2017\01\20\00.34.32 659\Head4.jpg
2017.01.20 00:34:52 494,TFT_SIDE5.46,90,RETRY,-0.1488,-0.1483,-0.274,-0.2253,0.1778,-0.00332,True,674.943959846335,521.865185231991,.\Image\Alignment\2017\01\20\00.34.52 494\Head1.jpg,True,677.843133489823,526.16062652826,.\Image\Alignment\2017\01\20\00.34.52 494\Head2.jpg,True,711.001576003675,527.859270548219,.\Image\Alignment\2017\01\20\00.34.52 494\Head3.jpg,True,694.957915058223,531.297520518621,.\Image\Alignment\2017\01\20\00.34.52 494\Head4.jpg
