DATETIME,RECIPE,ANGLE,ITEM,RESULT,HEAD1_FOUND,HEAD1_STANDARD_AXIS,HEAD1_RESULT_AXIS,HEAD1_RESULT,HEAD1_LENGTH,HEAD1_FILE,HEAD2_FOUND,HEAD2_STANDARD_AXIS,HEAD2_RESULT_AXIS,HEAD2_RESULT,HEAD2_LENGTH,HEAD2_FILE,HEAD3_FOUND,HEAD3_STANDARD_AXIS,HEAD3_RESULT_AXIS,HEAD3_RESULT,HEAD3_LENGTH,HEAD3_FILE,HEAD4_FOUND,HEAD4_STANDARD_AXIS,HEAD4_RESULT_AXIS,HEAD4_RESULT,HEAD4_LENGTH,HEAD4_FILE
STRING,STRING,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING
2017.02.09 11:29:58 574,TFT_SIDE5.46,0,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\02\09\11.29.58 574\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\02\09\11.29.58 574\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\02\09\11.29.58 574\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\02\09\11.29.58 574\Head4.jpg
2017.02.09 11:31:55 096,TFT_SIDE5.46,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\02\09\11.31.55 096\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\02\09\11.31.55 096\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\02\09\11.31.55 096\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\02\09\11.31.55 096\Head4.jpg
2017.02.09 11:32:58 032,TFT_SIDE5.46,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\02\09\11.32.58 032\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\02\09\11.32.58 032\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\02\09\11.32.58 032\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\02\09\11.32.58 032\Head4.jpg
