DATETIME,RECIPE,ANGLE,ITEM,RESULT,HEAD1_FOUND,HEAD1_STANDARD_AXIS,HEAD1_RESULT_AXIS,HEAD1_RESULT,HEAD1_LENGTH,HEAD1_FILE,HEAD2_FOUND,HEAD2_STANDARD_AXIS,HEAD2_RESULT_AXIS,HEAD2_RESULT,HEAD2_LENGTH,HEAD2_FILE,HEAD3_FOUND,HEAD3_STANDARD_AXIS,HEAD3_RESULT_AXIS,HEAD3_RESULT,HEAD3_LENGTH,HEAD3_FILE,HEAD4_FOUND,HEAD4_STANDARD_AXIS,HEAD4_RESULT_AXIS,HEAD4_RESULT,HEAD4_LENGTH,HEAD4_FILE
STRING,STRING,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING
2016.11.19 14:24:47 194,TFT_SIDE5.46,0,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2016\11\19\14.24.47 194\Head1.jpg,True,585.013333333333,48.2107894295003,NG,-2.013,.\Image\DirectCut\2016\11\19\14.24.47 194\Head2.jpg,True,143.813333333333,39.9015717666018,NG,-0.39,.\Image\DirectCut\2016\11\19\14.24.47 194\Head3.jpg,False,,,NG,,.\Image\DirectCut\2016\11\19\14.24.47 194\Head4.jpg
2016.11.19 14:25:21 181,TFT_SIDE5.46,90,DIRECT CUT,NG,True,296.72,45.6044373569714,NG,-0.942,.\Image\DirectCut\2016\11\19\14.25.21 181\Head1.jpg,True,585.013333333333,49.5493620568742,NG,-2.008,.\Image\DirectCut\2016\11\19\14.25.21 181\Head2.jpg,True,143.813333333333,92.6333661685634,NG,-0.192,.\Image\DirectCut\2016\11\19\14.25.21 181\Head3.jpg,True,1154.93333333333,90.0936153095595,NG,-3.993,.\Image\DirectCut\2016\11\19\14.25.21 181\Head4.jpg
